"","component 1","component 2"
"Bh",729.631949688341,57.0458062798288
"Bh.sd",1.1194284138061,1.11250527465028
"DP",3.6503349841866,4.49349134199625
"DP.sd",1.09233387741798,1.07984470452956
"P",0.701221479394792,0.758384678758747
"P.sd",0.0457585989567208,0.0359675576802537
"S",1.1201052404004,1.06457339524374
"S.sd",0.0839617341169359,0.0613086389255933
"OC.mean",0.398127496628609,0.601872503371391
"OC.sd",0.0802601799727292,0.0927290413804412
"EC.mean",0.443664233893689,0.556467555175685
"EC.sd",0.0949745410737722,0.0717511800355869
